path	commit	origin	license_file
External/Vita3K	496939b602703951277263c7b3e60a9ae36879c1	https://github.com/Vita3K/Vita3K.git	COPYING.txt
External/Vita3K/external/LibAtrac9	82767fe38823c32536726ea798f392b0b49e66b9	https://github.com/Vita3K/LibAtrac9.git	LICENSE
External/Vita3K/external/SPIRV-Cross	d8e3e2b141b8c8a167b2e3984736a6baacff316c	https://github.com/KhronosGroup/SPIRV-Cross.git	LICENSE
External/Vita3K/external/VulkanMemoryAllocator-Hpp	3843082eaa6a6f67e6780715fcd602fc81942c9c	https://github.com/YaaZ/VulkanMemoryAllocator-Hpp	LICENSE
External/Vita3K/external/VulkanMemoryAllocator-Hpp/Vulkan-Headers	19725e4d48082fe78e26622b15d3080ccd54112b	https://github.com/KhronosGroup/Vulkan-Headers.git	LICENSE.md
External/Vita3K/external/VulkanMemoryAllocator-Hpp/VulkanMemoryAllocator	c788c52156f3ef7bc7ab769cb03c110a53ac8fcb	https://github.com/GPUOpen-LibrariesAndSDKs/VulkanMemoryAllocator.git	LICENSE.txt
External/Vita3K/external/boost	ff5f55bd97a93b23d6e5cb6d192290fb49b3f002	https://github.com/Vita3K/ext-boost	LICENSE_1_0.txt
External/Vita3K/external/capstone	022575848782a4801fd150fdbc927effcbca0864	https://github.com/aquynh/capstone.git	LICENSE.TXT;LICENSE_LLVM.TXT
External/Vita3K/external/concurrentqueue	9afb99746f0f5fc94ac8aef737053ae0481ba8d1	https://github.com/cameron314/concurrentqueue.git	LICENSE.md
External/Vita3K/external/cubeb	4274d032355abe24cf6da0b35fad9b8122ea1f61	https://github.com/mozilla/cubeb.git	LICENSE
External/Vita3K/external/cubeb/cmake/sanitizers-cmake	aab6948fa863bc1cbe5d0850bc46b9ef02ed4c1a	https://github.com/arsenm/sanitizers-cmake	LICENSE
External/Vita3K/external/cubeb/googletest	40412d85124f7c6f3d88454583c4633e5e10fc8c	https://github.com/google/googletest	LICENSE
External/Vita3K/external/cubeb/src/cubeb-coreaudio-rs	840f69c1b3f95accd582555e10abcef8ee67514b	https://github.com/mozilla/cubeb-coreaudio-rs	LICENSE
External/Vita3K/external/cubeb/src/cubeb-pulse-rs	88194f91c8778fa608a19af7b91306094525595d	https://github.com/mozilla/cubeb-pulse-rs	LICENSE
External/Vita3K/external/dirent	31db6474b5231c180bd4618c8c90e43af50c86d0	https://github.com/tronkko/dirent	LICENSE
External/Vita3K/external/dlmalloc	e98f4ee160380d7c39dc1f04e7488bcf0770d391	https://github.com/Vita3K/dlmalloc	README.md
External/Vita3K/external/dynarmic	86458a0bd369d63ba4c2ef812cacbb6c9080c065	https://github.com/Vita3K/dynarmic.git	LICENSE.txt
External/Vita3K/external/ffmpeg	02f4f2691b0efffff8923235baf146a87fc37263	https://github.com/Vita3K/ffmpeg-core.git	copyright
External/Vita3K/external/fmt	1be298e1bd68957e4cd352e1f676f00e07dcfb57	https://github.com/fmtlib/fmt.git	LICENSE
External/Vita3K/external/glslang	fc9889c889561c5882e83819dcaffef5ed45529b	https://github.com/KhronosGroup/glslang	LICENSE.txt
External/Vita3K/external/googletest	52eb8108c5bdec04579160ae17225d66034bd723	https://github.com/google/googletest	LICENSE
External/Vita3K/external/libadrenotools	8fae8ce254dfc1344527e05301e43f37dea2df80	https://github.com/bylaws/libadrenotools	LICENSE
External/Vita3K/external/libadrenotools/lib/linkernsbypass	aa3975893d83ef1bc84c321ec60c65fbf1287887	https://github.com/bylaws/liblinkernsbypass/	LICENSE
External/Vita3K/external/libfat16	d9a890b712dcdb46d3d33230997efc59f5ad8d62	https://github.com/Vita3K/libfat16	LICENSE
External/Vita3K/external/nativefiledialog-extended	fc168e8605bfa51aaec22ab0c4e46b9de665a437	https://github.com/btzy/nativefiledialog-extended.git	LICENSE
External/Vita3K/external/printf	c75def6db38f9978c55e8d27227858df911cd727	https://github.com/Vita3K/printf	LICENSE
External/Vita3K/external/psvpfstools	e21df9a74852433f48d6593b8ef203dc7c424e05	https://github.com/Vita3K/psvpfstools.git	NOT_FOUND
External/Vita3K/external/psvpfstools/libb64	3896b7a74c70baed0e2f6039a1dbd723e5d5cc8f	https://github.com/korewawatchful/libb64.git	LICENSE
External/Vita3K/external/psvpfstools/libzrif	7d1e69bee7d2f08ea5754eff4463c041aacd49af	https://github.com/KorewaWatchful/libzrif.git	NOT_FOUND
External/Vita3K/external/psvpfstools/psvpfsparser	d14381f871a69009bd18b2aaec2213a6738bebba	https://github.com/Vita3K/psvpfsparser.git	NOT_FOUND
External/Vita3K/external/psvpfstools/zlib	cb210089eb06453199578993566012493f6f7d21	https://github.com/korewawatchful/zlib.git	zlib.h;README
External/Vita3K/external/pugixml	c8033ce9d039e7f9d134877c363397b3cfe20816	https://github.com/zeux/pugixml	LICENSE.md
External/Vita3K/external/sdl	f5e5f6588921eed3d7d048ce43d9eb1ff0da0ffc	https://github.com/libsdl-org/SDL.git	LICENSE.txt
External/Vita3K/external/spdlog	79524ddd08a4ec981b7fea76afd08ee05f83755d	https://github.com/gabime/spdlog	LICENSE
External/Vita3K/external/stb	31c1ad37456438565541f4919958214b6e762fb4	https://github.com/nothings/stb	LICENSE
External/Vita3K/external/substitute	319da6b563d8da689f3b9df2fbb839edd41a1943	https://github.com/Vita3K/substitute.git	LICENSE.txt
External/Vita3K/external/tracy	05cceee0df3b8d7c6fa87e9638af311dbabc63cb	https://github.com/wolfpld/tracy.git	LICENSE
External/Vita3K/external/vita-toolchain	43fc1e3c686a1fc035eca583fdfeaa5e6419a61a	https://github.com/vitasdk/vita-toolchain.git	COPYING
External/Vita3K/external/vita-toolchain/psp2rela	9e0f4913866431aef48967cfb7667b085e79428b	https://github.com/Princess-of-Sleeping/psp2rela.git	LICENSE
External/Vita3K/external/xxHash	e626a72bc2321cd320e953a0ccf1584cad60f363	https://github.com/Cyan4973/xxHash	LICENSE
External/Vita3K/external/yaml-cpp	56e3bb550c91fd7005566f19c079cb7a503223cf	https://github.com/jbeder/yaml-cpp	LICENSE
